SRC_POLICE_PRECINCT,lat,lon,hr
115,40.762,-73.89668,01
044,40.826397,-73.92116,23
043,40.830025,-73.872765,04
068,40.62039,-74.02935,06
070,40.636826,-73.95099,12
068,40.620903,-74.006805,15
122,40.610214,-74.1202,15
068,40.630352,-74.01491,16
122,40.60998,-74.12017,21
019,40.76635,-73.95103,23
047,40.881264,-73.83875,06
107,40.731777,-73.77012,18
113,40.679653,-73.77724,04
067,40.638332,-73.94244,07
113,40.67246,-73.7595,23
009,40.72595,-73.99633,15
076,40.680542,-73.99466,15
005,40.71766,-73.99223,16
123,40.54886,-74.20017,23
023,40.795403,-73.94188,04
088,40.698544,-73.96236,22
081,40.68056,-73.93458,11
001,40.7163,-74.01097,09
090,40.71361,-73.9591,16
108,40.742874,-73.933945,07
109,40.78781,-73.82341,12
105,40.681656,-73.72783,08
105,40.66547,-73.75442,16
075,40.657814,-73.89613,08
041,40.812534,-73.88377,09
041,40.82353,-73.888596,15
094,40.71882,-73.9468,09
094,40.714794,-73.95729,21
048,40.85192,-73.89694,05
070,40.647606,-73.97052,07
070,40.6501,-73.960785,18
025,40.80275,-73.93358,09
111,40.739902,-73.791275,07
069,40.642002,-73.898834,01
069,40.63686,-73.91345,18
034,40.86769,-73.92122,18
045,40.813156,-73.826645,05
073,40.655148,-73.91094,19
040,40.81622,-73.92125,00
040,40.803272,-73.918884,11
040,40.805077,-73.91092,23
062,40.61824,-73.98408,08
062,40.60229,-74.00679,14
062,40.626373,-73.99754,14
045,40.831207,-73.817566,10
062,40.5988,-73.98866,19
068,40.63695,-74.022484,11
103,40.71512,-73.77358,16
068,40.63286,-74.02425,15
019,40.78106,-73.94943,22
107,40.718533,-73.82619,15
104,40.691433,-73.89063,15
114,40.755234,-73.941246,01
114,40.77226,-73.92591,13
114,40.755234,-73.941246,15
122,40.576504,-74.1037,15
026,40.813377,-73.96542,22
010,40.758976,-73.99394,03
010,40.75268,-74.002495,21
010,40.75649,-73.997765,18
101,40.595886,-73.76386,23
123,40.55492,-74.19364,23
123,40.56025,-74.16974,14
123,40.517937,-74.23444,10
001,40.704025,-74.01264,01
014,40.759384,-73.99193,18
060,40.582874,-73.98053,09
060,40.5731,-74.00143,13
060,40.574802,-73.97353,16
017,40.757668,-73.95915,21
041,40.82186,-73.88834,08
050,40.87745,-73.91051,06
078,40.68106,-73.97528,20
094,40.71795,-73.94769,05
071,40.66323,-73.93161,13
042,40.829956,-73.90812,21
048,40.84822,-73.883125,11
046,40.853813,-73.90734,11
048,40.84156,-73.883316,00
070,40.64043,-73.95624,19
120,40.640053,-74.08018,10
112,40.720165,-73.844795,12
094,40.729523,-73.95098,11
120,40.63721,-74.12689,21
048,40.860897,-73.89194,17
079,40.70028,-73.941154,06
034,40.850166,-73.93576,01
034,40.86131,-73.92124,04
073,40.682568,-73.91713,07
066,40.636913,-73.97525,14
066,40.635017,-74.00268,15
052,40.86558,-73.89888,18
072,40.646366,-74.00184,12
110,40.735752,-73.88052,13
072,40.653854,-74.00817,15
